mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_classifier__lr,param_classifier__max_epochs,param_classifier__model_class,param_classifier__n_features,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.01231245994567871,0.0003999710083007813,0.0006002426147460937,0.0004900961122578451,0.01,10,<class 'models.widrow_hoff.WidrowHoff'>,4.0,"{'classifier__lr': 0.01, 'classifier__max_epochs': 10, 'classifier__model_class': <class 'models.widrow_hoff.WidrowHoff'>, 'classifier__n_features': 4}",0.6,0.75,0.65,0.65,0.7,0.6699999999999999,0.05099019513592784,30
0.07044754028320313,0.004167826790540013,0.0008016586303710938,0.0004008463325672833,0.01,50,<class 'models.widrow_hoff.WidrowHoff'>,4.0,"{'classifier__lr': 0.01, 'classifier__max_epochs': 50, 'classifier__model_class': <class 'models.widrow_hoff.WidrowHoff'>, 'classifier__n_features': 4}",0.6,0.85,0.65,0.7,0.6,0.6799999999999999,0.09273618495495704,27
0.13913965225219727,0.003432638240280315,0.0011234760284423828,0.00024044460628490664,0.01,100,<class 'models.widrow_hoff.WidrowHoff'>,4.0,"{'classifier__lr': 0.01, 'classifier__max_epochs': 100, 'classifier__model_class': <class 'models.widrow_hoff.WidrowHoff'>, 'classifier__n_features': 4}",0.6,0.85,0.6,0.75,0.6,0.6799999999999999,0.10295630140987001,27
0.7152457714080811,0.033390808979736473,0.00090179443359375,0.0004916596372829191,0.01,500,<class 'models.widrow_hoff.WidrowHoff'>,4.0,"{'classifier__lr': 0.01, 'classifier__max_epochs': 500, 'classifier__model_class': <class 'models.widrow_hoff.WidrowHoff'>, 'classifier__n_features': 4}",0.6,0.85,0.55,0.75,0.6,0.67,0.11224972160321822,29
0.014850091934204102,0.0007806399463441607,0.0010001182556152344,6.106495129998063e-07,0.0001,10,<class 'models.widrow_hoff.WidrowHoff'>,4.0,"{'classifier__lr': 0.0001, 'classifier__max_epochs': 10, 'classifier__model_class': <class 'models.widrow_hoff.WidrowHoff'>, 'classifier__n_features': 4}",0.95,1.0,0.85,0.1,0.85,0.75,0.3301514803843836,26
0.08632302284240723,0.011690395571705656,0.0012012481689453124,0.00040037721077724423,0.0001,50,<class 'models.widrow_hoff.WidrowHoff'>,4.0,"{'classifier__lr': 0.0001, 'classifier__max_epochs': 50, 'classifier__model_class': <class 'models.widrow_hoff.WidrowHoff'>, 'classifier__n_features': 4}",0.55,0.6,0.35,0.45,0.5,0.49000000000000005,0.08602325267042628,33
0.13838930130004884,0.0034404393664863625,0.000999593734741211,8.740569486533814e-07,0.0001,100,<class 'models.widrow_hoff.WidrowHoff'>,4.0,"{'classifier__lr': 0.0001, 'classifier__max_epochs': 100, 'classifier__model_class': <class 'models.widrow_hoff.WidrowHoff'>, 'classifier__n_features': 4}",0.65,0.85,0.8,0.7,0.8,0.76,0.07348469228349536,25
0.7009593963623046,0.04946166694186884,0.0006017684936523438,0.0004913514580653629,0.0001,500,<class 'models.widrow_hoff.WidrowHoff'>,4.0,"{'classifier__lr': 0.0001, 'classifier__max_epochs': 500, 'classifier__model_class': <class 'models.widrow_hoff.WidrowHoff'>, 'classifier__n_features': 4}",0.75,0.85,0.8,0.85,0.6,0.7700000000000001,0.09273618495495704,24
0.020033931732177733,0.00495740960187185,0.0008010387420654297,0.00040051986421924516,1e-08,10,<class 'models.widrow_hoff.WidrowHoff'>,4.0,"{'classifier__lr': 1e-08, 'classifier__max_epochs': 10, 'classifier__model_class': <class 'models.widrow_hoff.WidrowHoff'>, 'classifier__n_features': 4}",0.3,0.2,0.0,0.9,0.95,0.4699999999999999,0.38418745424597095,34
0.07552514076232911,0.004222300498848755,0.0007017612457275391,0.00039966938090590194,1e-08,50,<class 'models.widrow_hoff.WidrowHoff'>,4.0,"{'classifier__lr': 1e-08, 'classifier__max_epochs': 50, 'classifier__model_class': <class 'models.widrow_hoff.WidrowHoff'>, 'classifier__n_features': 4}",0.15,0.0,0.1,0.2,0.1,0.11000000000000001,0.066332495807108,36
